id,price,title,details,day_delivery,image,original_price,discount
0,"0,99€","Xmax-gafas decorativas de plástico para niños, accesorio de fiesta de disfraces, accesorios para fotos, decoración navideña, regalo de Navidad, 2023","{'Electrónica': 'no', 'Embalaje': 'Sin caja de regalo', 'Tipo de configuración': 'no', 'Tipo de venta al por mayor': 'no', 'Se puede personalizar': 'no', 'Número de modelo': 'FX1162'}", Entrega en 11 días ,True,"2,66€",-62%
1,"1,42€","Colgante de Navidad para el hogar, adorno Personal familiar para el árbol de Navidad, Año Nuevo, 2023, 2024","{'Electrónica': 'no', 'Tipo de configuración': 'no', 'Tipo de venta al por mayor': 'no', 'Se puede personalizar': 'No', 'Número de modelo': 'Christmas Ornament', 'Nombre de la marca': 'YOWEI'}",,True,"4,14€",-65%
2,"0,99€","Pegatinas de ventana de copo de nieve blanco de Navidad, calcomanías adhesivas de pared para el hogar, decoraciones de invierno, suministros de Año Nuevo, Natal","{'Electrónica': 'no', 'Embalaje': 'Sin caja de regalo', 'Tipo de configuración': 'no', 'Tipo de venta al por mayor': 'no', 'Se puede personalizar': 'no', 'Número de modelo': 'new'}",,True,"7,54€",-86%
